gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
ANAPC5	2	0	1	0.11359763716914688	0.2518883283956549
NUP153	4	0	1	0.11376564277588168	0.2518883283956549
CCNB2	2	0	1	0.11380448389666553	0.2518883283956549
DTX3L	2	0	2	0.1148369315571888	0.2518883283956549
SEMA3E	1	0	1	0.11495574203931487	0.2518883283956549
TDRD1	1	0	1	0.11532695190866106	0.2518883283956549
KLK8	1	0	1	0.11572734637194769	0.2518883283956549
HPGD	1	0	1	0.1159151501101194	0.2518883283956549
PRRC2C	3	0	1	0.11638733705772812	0.2518883283956549
CC2D2A	2	0	1	0.11719207781553967	0.2518883283956549
SYK	1	0	1	0.11726078799249531	0.2518883283956549
SALL1	5	0	1	0.11732957878681216	0.2518883283956549
ELFN2	2	0	1	0.11789672247111531	0.2518883283956549
VRK1	1	0	1	0.11859582542694497	0.2518883283956549
SLC8A1	2	0	1	0.11860989206499822	0.2518883283956549
KIF2A	2	0	1	0.11863803535413453	0.2518883283956549
CPS1	3	0	1	0.11926058437686345	0.2518883283956549
PTPN22	1	0	1	0.11957431543704412	0.2518883283956549
MTMR11	2	0	1	0.11978917105893627	0.2518883283956549
MYH13	4	0	1	0.1199184554502938	0.2518883283956549
TARSL2	1	0	1	0.12006243246488174	0.2518883283956549
UIMC1	1	0	1	0.12020675561966583	0.2518883283956549
CNTRL	1	0	1	0.12022120702091849	0.2518883283956549
IL19	2	0	1	0.12072920439454304	0.2518883283956549
KCNMA1	2	0	1	0.12080212611741967	0.2518883283956549
TOP3A	1	0	1	0.12135922330097088	0.2518883283956549
SFTA3	1	0	1	0.12135922330097088	0.2518883283956549
CTSK	1	0	1	0.12153621779290229	0.2518883283956549
C1orf198	2	0	1	0.12178784557301181	0.2518883283956549
TMEM203	2	0	1	0.12212994626282364	0.2518883283956549
NBPF1	1	0	1	0.12233912405187179	0.2518883283956549
TADA1	1	0	1	0.12251899044351874	0.2518883283956549
NLRP2	3	0	1	0.1226391954868776	0.2518883283956549
RBL2	1	0	1	0.12277470841006753	0.2518883283956549
ALDH7A1	1	0	1	0.1238083446824316	0.25332059684345765
PRSS38	2	0	1	0.12534469791927802	0.2538205028469919
MOSPD2	2	0	1	0.12561236025624922	0.2538205028469919
ERMARD	1	0	1	0.12572290671360323	0.2538205028469919
ATP9B	1	0	1	0.12603982858583312	0.2538205028469919
TP53BP1	1	0	1	0.12627857052658165	0.2538205028469919
GCC1	1	0	1	0.1269196598553116	0.2538205028469919
MAP3K9	2	0	1	0.12696800406297612	0.2538205028469919
ACTN2	2	0	1	0.12769761205465457	0.2538205028469919
ALK	3	0	1	0.12774655084312725	0.2538205028469919
RAB11B	1	0	1	0.1280901754835404	0.2538205028469919
CADPS	2	0	1	0.12813941568426448	0.2538205028469919
FGG	1	0	1	0.12833675564681724	0.2538205028469919
COLCA2	1	0	1	0.1288161793121216	0.2538205028469919
METAP2	1	0	1	0.12998830105290524	0.2538205028469919
NSD1	6	0	1	0.1302252897512697	0.2538205028469919
TBC1D5	1	0	1	0.13054830287206268	0.2538205028469919
